bathrooms,bedrooms,city,homeStatus,homeType,latitude,livingArea,longitude,price,state,streetAddress,zipcode,zpid
7.0,6.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.622337,10375.0,-74.092865,3250000.0,NY,160 Bertha Pl,10301,32286379
1.0,3.0,Bronx,FOR_SALE,CONDO,40.88115,1000.0,-73.87568,234900.0,NY,3555 Kings College Place #1H,10467,2057887516
2.0,2.0,Manhattan,FOR_SALE,CONDO,40.764317,1200.0,-73.9776,329000.0,NY,100 W 57th St APT 18G,10019,72519065
3.0,4.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.616425,1800.0,-73.941666,772000.0,NY,1572 E 34th St,11234,30756277
2.0,3.0,Staten Island,FOR_SALE,TOWNHOUSE,40.61297,1347.0,-74.07958,220000.0,NY,330 Skyline Dr #H,10304,450046246
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.618034,1181.0,-74.15633,499900.0,NY,6 Jules Dr,10314,32305414
8.0,5.0,New York,FOR_SALE,CONDO,40.764774,11480.0,-73.97785,110000000.0,NY,111 W 57th St UNIT QUADPLEX 80,10019,449319167
17.0,8.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.595013,33000.0,-74.10643,18000000.0,NY,177 Benedict Rd,10304,32294383
4.0,4.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.50316,2700.0,-74.241356,995000.0,NY,526 Yetman Ave,10307,32375903
1.0,2.0,New York,FOR_SALE,CONDO,40.800392,0.0,-73.94421,245000.0,NY,1779 Madison Ave APT 402,10035,120787993
1.0,3.0,South Ozone Park,FOR_SALE,SINGLE_FAMILY,40.675747,1556.0,-73.82241,274000.0,NY,115-30 116th St,11420,2078094339
6.0,5.0,New York,FOR_SALE,CONDO,40.747578,0.0,-74.0073,75000000.0,NY,551 W 21st St APT PENTHOUSE,10011,444372194
3.0,2.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.593166,2060.0,-74.063805,648888.0,NY,12 Sea Gate Ct,10305,58577998
2.0,5.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.68025,2904.0,-73.93286,1450000.0,NY,81 Chauncey St,11233,30606268
3.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.603138,1232.0,-74.08099,1000000.0,NY,46 Delphine Ter,10305,32322302
3.0,2.0,New York,FOR_SALE,SINGLE_FAMILY,40.747047,0.0,-73.97787,5595000.0,NY,6 Sniffen Ct,10016,31507257
2.0,4.0,Flushing,FOR_SALE,MULTI_FAMILY,40.77264,1776.0,-73.81584,1418888.0,NY,28-10 150th street,11354,32033607
7.0,5.0,New York,FOR_SALE,CONDO,40.716434,8770.0,-74.00334,19250000.0,NY,108 Leonard St,10013,338434784
14.0,6.0,New York,FOR_SALE,TOWNHOUSE,40.765636,14825.0,-73.97102,70000000.0,NY,8 E 62nd St,10065,31533267
2.0,3.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.69436,1056.0,-73.7628,575000.0,NY,18918 Tioga Dr,11412,32143397
2.0,3.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.687923,0.0,-73.827576,195000.0,NY,10151 116th St,11419,32123970
2.0,3.0,South Ozone Park,FOR_SALE,SINGLE_FAMILY,40.66973,0.0,-73.806885,290000.0,NY,131-36 132nd St,11420,2062695224
2.0,3.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.749653,1350.0,-73.78054,998888.0,NY,198-20 50th Avenue,11365,32083108
3.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.56138,1440.0,-74.147934,788000.0,NY,15 Jumel St,10308,59820812
1.0,1.0,Jackson Heights,FOR_SALE,CONDO,40.75159,693.0,-73.88653,250000.0,NY,35-21 80th Street #21,11372,441861582
2.0,4.0,Bronx,FOR_SALE,MULTI_FAMILY,40.849655,1440.0,-73.84936,749997.0,NY,1704 Yates Avenue,10461,29814877
3.0,4.0,Saint Albans,FOR_SALE,SINGLE_FAMILY,40.705376,1533.0,-73.77181,749000.0,NY,104-05 185th St,11412,2056682275
4.0,4.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.678375,3788.0,-73.97068,6500000.0,NY,177 Prospect Pl,11238,30589946
